,Predictions,Actual
0,-0.00800000037997961,-0.006999999999999999
1,-0.008999999612569809,-0.009000000000000001
2,-0.00800000037997961,-0.008
3,-0.014000000432133675,-0.013999999999999999
4,-0.013000000268220901,-0.013000000000000001
5,-0.02500000037252903,-0.025
6,-0.019999999552965164,-0.02
7,-0.014000000432133675,-0.013999999999999999
8,-0.02199999988079071,-0.022000000000000002
9,-0.007000000216066837,-0.006999999999999999
10,-0.006000000052154064,-0.006
11,-0.006000000052154064,-0.006
12,-0.032999999821186066,-0.033
13,-0.019999999552965164,-0.02
14,-0.008999999612569809,-0.009000000000000001
15,-0.010999999940395355,-0.011000000000000001
16,-0.026000000536441803,-0.026000000000000002
17,-0.0,0.0
18,-0.019999999552965164,-0.02
19,-0.013000000268220901,-0.013000000000000001
20,-0.024000000208616257,-0.024
21,-0.014000000432133675,-0.015
22,-0.010999999940395355,-0.011000000000000001
23,-0.020999999716877937,-0.021
24,-0.020999999716877937,-0.021
25,-0.007000000216066837,-0.006999999999999999
26,-0.02800000086426735,-0.027999999999999997
27,-0.007000000216066837,-0.006999999999999999
28,-0.02500000037252903,-0.024
29,-0.01899999938905239,-0.019
30,-0.009999999776482582,-0.01
31,-0.02500000037252903,-0.025
32,-0.023000000044703484,-0.022000000000000002
33,0.004000000189989805,0.004
34,0.0020000000949949026,0.002
35,-0.023000000044703484,-0.023
36,-0.02800000086426735,-0.027999999999999997
37,-0.023000000044703484,-0.023
38,-0.026000000536441803,-0.026000000000000002
39,-0.0,0.0
40,-0.029999999329447746,-0.028999999999999998
41,-0.014000000432133675,-0.013999999999999999
42,-0.032999999821186066,-0.032
43,-0.013000000268220901,-0.013000000000000001
44,-0.026000000536441803,-0.026000000000000002
45,-0.026000000536441803,-0.026000000000000002
46,-0.02199999988079071,-0.022000000000000002
47,-0.006000000052154064,-0.006
48,-0.017999999225139618,-0.018000000000000002
49,-0.0020000000949949026,-0.002
50,-0.02500000037252903,-0.025
51,-0.014999999664723873,-0.015
52,-0.03400000184774399,-0.033
53,-0.01899999938905239,-0.019
54,-0.006000000052154064,-0.006999999999999999
55,-0.017000000923871994,-0.017
56,-0.004999999888241291,-0.005
57,-0.02800000086426735,-0.027999999999999997
58,-0.013000000268220901,-0.013000000000000001
59,-0.027000000700354576,-0.026000000000000002
60,0.0010000000474974513,0.001
61,-0.024000000208616257,-0.024
62,-0.010999999940395355,-0.011000000000000001
63,-0.023000000044703484,-0.023
64,-0.006000000052154064,-0.006
65,-0.024000000208616257,-0.024
66,-0.024000000208616257,-0.024
67,-0.020999999716877937,-0.021
68,-0.017000000923871994,-0.017
69,-0.03400000184774399,-0.034
70,-0.027000000700354576,-0.027000000000000003
71,-0.023000000044703484,-0.023
72,-0.02500000037252903,-0.025
73,-0.02500000037252903,-0.025
74,-0.0,0.0
75,-0.013000000268220901,-0.013000000000000001
76,0.004000000189989805,0.004
77,-0.026000000536441803,-0.026000000000000002
78,-0.02199999988079071,-0.021
79,-0.023000000044703484,-0.023
80,-0.020999999716877937,-0.02
81,-0.00800000037997961,-0.008
82,-0.02500000037252903,-0.025
83,-0.008999999612569809,-0.009000000000000001
84,-0.017000000923871994,-0.017
