,Predictions,Actual
0,-0.006000000052154064,-0.006
1,-0.026000000536441803,-0.026000000000000002
2,-0.004000000189989805,-0.005
3,-0.03400000184774399,-0.034
4,-0.02800000086426735,-0.028999999999999998
5,-0.014000000432133675,-0.013999999999999999
6,-0.004000000189989805,-0.005
7,-0.027000000700354576,-0.027999999999999997
8,-0.007000000216066837,-0.006999999999999999
9,-0.004999999888241291,-0.005
10,-0.02199999988079071,-0.022000000000000002
11,-0.020999999716877937,-0.021
12,-0.02199999988079071,-0.022000000000000002
13,-0.019999999552965164,-0.021
14,-0.023000000044703484,-0.023
15,-0.019999999552965164,-0.021
16,-0.006000000052154064,-0.006
17,-0.008999999612569809,-0.009000000000000001
18,-0.003000000026077032,-0.003
19,-0.012000000104308128,-0.013000000000000001
20,-0.03799999877810478,-0.038
21,-0.008999999612569809,-0.009000000000000001
22,-0.02199999988079071,-0.022000000000000002
23,0.0,0.0
24,-0.008999999612569809,-0.009000000000000001
25,-0.012000000104308128,-0.012
26,-0.010999999940395355,-0.012
27,-0.024000000208616257,-0.025
28,-0.020999999716877937,-0.022000000000000002
29,-0.03500000014901161,-0.035
30,-0.03799999877810478,-0.039
31,-0.004999999888241291,-0.005
32,-0.017999999225139618,-0.019
33,-0.04100000113248825,-0.040999999999999995
34,-0.004999999888241291,-0.005
35,-0.027000000700354576,-0.027000000000000003
36,-0.023000000044703484,-0.023
37,-0.02500000037252903,-0.025
38,-0.019999999552965164,-0.02
39,-0.02500000037252903,-0.025
40,-0.027000000700354576,-0.027000000000000003
41,-0.02500000037252903,-0.026000000000000002
42,-0.014999999664723873,-0.015
43,-0.010999999940395355,-0.011000000000000001
44,-0.01899999938905239,-0.02
45,-0.007000000216066837,-0.006999999999999999
46,-0.00800000037997961,-0.008
47,-0.01899999938905239,-0.02
48,0.0020000000949949026,0.002
49,-0.023000000044703484,-0.024
50,-0.006000000052154064,-0.006
51,-0.024000000208616257,-0.025
52,-0.02800000086426735,-0.027999999999999997
53,-0.01899999938905239,-0.02
54,0.004000000189989805,0.004
55,-0.026000000536441803,-0.026000000000000002
56,-0.020999999716877937,-0.021
57,-0.019999999552965164,-0.02
58,-0.03500000014901161,-0.035
59,-0.010999999940395355,-0.011000000000000001
60,-0.010999999940395355,-0.011000000000000001
61,-0.023000000044703484,-0.023
62,-0.004999999888241291,-0.005
63,-0.014000000432133675,-0.013999999999999999
64,-0.017000000923871994,-0.017
65,-0.017000000923871994,-0.018000000000000002
66,0.003000000026077032,0.002
67,-0.020999999716877937,-0.022000000000000002
68,-0.00800000037997961,-0.009000000000000001
69,-0.0,-0.001
70,-0.03400000184774399,-0.034
71,-0.02199999988079071,-0.023
72,-0.024000000208616257,-0.025
73,-0.009999999776482582,-0.01
74,-0.017999999225139618,-0.018000000000000002
75,-0.026000000536441803,-0.026000000000000002
76,-0.00800000037997961,-0.008
77,-0.010999999940395355,-0.011000000000000001
78,-0.014000000432133675,-0.015
79,-0.00800000037997961,-0.009000000000000001
80,-0.008999999612569809,-0.009000000000000001
81,-0.017999999225139618,-0.019
82,-0.024000000208616257,-0.024
83,0.003000000026077032,0.003
84,-0.02500000037252903,-0.026000000000000002
85,-0.02500000037252903,-0.026000000000000002
86,-0.027000000700354576,-0.027999999999999997
87,-0.020999999716877937,-0.021
88,-0.019999999552965164,-0.02
89,-0.026000000536441803,-0.026000000000000002
90,-0.017999999225139618,-0.018000000000000002
