ET,V,N,SA,IA,RL,RE,P,FX,FY,FZ,MX,MZ,NFX,NFY,RST,TSTI,TSTC,TSTO,AMBTMP,SR
0.0,40.27,409.04,-0.057,-0.036000000000000004,25.691,26.118000000000002,83.59,-44.55,79.96,-992.97,-48.36,-21.8,0.04,-0.08,34.03,28.56,28.91,27.28,30.57,-0.016
0.01,40.27,409.11,-0.07,-0.034,25.691,26.114,83.89,-27.29,83.84,-1008.73,-30.69,-26.59,0.03,-0.08,34.03,28.58,29.02,26.89,30.56,-0.016
0.02,40.26,409.04,-0.069,-0.03,25.685,26.115,83.59,-2.55,85.52,-1034.81,-12.81,-26.39,0.0,-0.08,34.03,28.58,29.1,26.87,30.56,-0.017
0.03,40.26,408.91,-0.05,-0.031,25.685,26.124000000000002,83.49,30.46,89.9,-1065.55,2.55,-20.08,-0.03,-0.08,34.02,28.64,29.04,26.86,30.58,-0.017
0.04,40.26,408.84,-0.063,-0.033,25.69,26.125999999999998,82.78,63.77,93.4,-1092.75,11.19,-9.83,-0.06,-0.09,34.02,28.64,29.22,27.0,30.56,-0.017
0.05,40.26,408.63,-0.066,-0.031,25.689,26.142,82.93,93.5,96.66,-1113.63,11.41,2.7,-0.08,-0.09,34.03,28.67,29.16,27.04,30.56,-0.017
0.06,40.25,408.63,-0.066,-0.04,25.691,26.136,83.23,107.89,97.78,-1125.11,3.83,14.16,-0.1,-0.09,34.03,28.67,29.16,27.03,30.58,-0.017
0.07,40.27,408.56,-0.063,-0.036000000000000004,25.695,26.149,82.78,101.38,91.77,-1122.84,-10.03,22.62,-0.09,-0.08,34.03,28.7,29.22,27.01,30.57,-0.017
0.08,40.27,408.43,-0.061,-0.034,25.691,26.158,82.83,82.44,83.73,-1102.23,-27.59,28.25,-0.07,-0.08,34.0,28.7,29.11,27.04,30.56,-0.018000000000000002
0.09,40.27,408.36,-0.064,-0.039,25.688000000000002,26.165,82.68,48.77,73.77,-1071.39,-45.05,28.48,-0.05,-0.07,34.03,28.78,29.19,27.04,30.56,-0.018000000000000002
0.1,40.27,408.63,-0.064,-0.034,25.693,26.145,82.68,11.8,61.7,-1035.25,-62.34,24.66,-0.01,-0.06,34.03,28.75,29.16,27.03,30.58,-0.017
0.11,40.28,408.49,-0.061,-0.031,25.691,26.16,82.63,-33.42,54.66,-1007.2,-72.73,15.45,0.03,-0.05,34.02,28.78,29.13,26.98,30.57,-0.018000000000000002
0.12,40.28,408.49,-0.057,-0.036000000000000004,25.689,26.16,82.52,-85.75,49.93,-988.06,-76.64,1.43,0.09,-0.05,34.03,28.77,29.14,27.09,30.56,-0.018000000000000002
0.13,40.29,408.56,-0.064,-0.031,25.695,26.160999999999998,82.58,-129.91,50.09,-978.43,-73.4,-12.55,0.13,-0.05,34.03,28.86,29.11,26.9,30.57,-0.018000000000000002
0.14,40.29,408.77,-0.067,-0.033,25.688000000000002,26.151,82.52,-159.89,55.34,-978.97,-61.81,-24.76,0.16,-0.06,34.03,28.81,29.14,26.95,30.58,-0.018000000000000002
0.15,40.29,408.97,-0.057999999999999996,-0.036000000000000004,25.691,26.135,82.52,-156.02,62.04,-990.87,-45.09,-30.43,0.16,-0.06,34.05,28.67,29.08,26.96,30.57,-0.017
0.16,40.3,408.91,-0.064,-0.027999999999999997,25.691999999999997,26.145,82.52,-124.13,70.69,-1013.26,-25.55,-30.52,0.12,-0.07,33.98,28.69,29.13,26.96,30.56,-0.017
0.17,40.3,409.04,-0.061,-0.034,25.693,26.136999999999997,82.73,-65.19,82.87,-1041.7,-6.88,-23.11,0.06,-0.08,34.05,28.75,29.17,26.96,30.58,-0.017
0.18,40.3,409.18,-0.07,-0.03,25.689,26.134,82.73,2.47,92.0,-1072.76,7.58,-12.26,0.0,-0.09,34.05,28.59,29.1,26.96,30.57,-0.017
0.19,40.32,409.25,-0.064,-0.04,25.695,26.139,83.03,57.45,101.11,-1094.15,13.77,-1.02,-0.05,-0.09,34.03,28.64,29.11,26.96,30.55,-0.017
0.2,40.33,408.97,-0.066,-0.031,25.689,26.162,83.33,82.12,104.99,-1106.54,11.94,8.29,-0.07,-0.09,34.03,28.83,29.19,26.96,30.57,-0.018000000000000002
0.21,40.34,408.91,-0.07,-0.036000000000000004,25.695,26.176,83.49,72.71,103.99,-1101.7,0.1,14.71,-0.07,-0.09,34.02,28.77,29.16,26.96,30.58,-0.018000000000000002
0.22,40.35,408.77,-0.057999999999999996,-0.031,25.691,26.186999999999998,83.38,40.98,99.38,-1087.01,-15.97,19.79,-0.04,-0.09,34.03,28.77,29.33,27.04,30.56,-0.019
0.23,40.35,408.7,-0.066,-0.033,25.686,26.191999999999997,83.33,-5.43,91.37,-1062.15,-34.46,21.73,0.01,-0.09,34.05,28.74,29.11,26.8,30.55,-0.019
0.24,40.36,408.77,-0.067,-0.027999999999999997,25.688000000000002,26.193,83.18,-59.97,82.67,-1034.23,-52.24,20.08,0.06,-0.08,34.07,28.64,29.14,26.95,30.57,-0.019
0.25,40.36,408.77,-0.044000000000000004,-0.022000000000000002,25.688000000000002,26.195999999999998,83.13,-113.08,74.73,-1005.77,-67.9,14.77,0.11,-0.07,34.03,28.77,29.11,26.93,30.57,-0.019
0.26,40.36,408.84,-0.066,-0.034,25.686999999999998,26.189,83.54,-149.92,70.65,-987.79,-75.44,7.71,0.15,-0.07,34.03,28.51,29.13,26.98,30.56,-0.019
0.27,40.35,408.77,-0.051,-0.03,25.685,26.19,84.45,-157.95,71.39,-976.15,-76.21,0.41,0.16,-0.07,34.04,28.66,28.9,27.04,30.57,-0.019
0.28,40.35,409.04,-0.055999999999999994,-0.027000000000000003,25.686,26.173000000000002,84.3,-137.34,75.77,-973.72,-69.66,-6.53,0.14,-0.08,34.03,28.72,29.1,27.04,30.58,-0.019
0.29,40.35,409.25,-0.064,-0.027000000000000003,25.686,26.16,84.35,-102.06,81.02,-985.35,-54.98,-13.68,0.1,-0.08,34.04,28.81,28.9,27.22,30.56,-0.018000000000000002
0.3,40.34,409.38,-0.069,-0.03,25.686999999999998,26.145,84.04,-68.97,86.38,-1005.32,-35.88,-20.69,0.07,-0.09,34.04,28.67,29.08,26.9,30.56,-0.018000000000000002
0.31,40.34,409.45,-0.06,-0.033,25.686,26.141,83.99,-34.13,93.06,-1035.26,-15.49,-23.41,0.03,-0.09,34.03,28.69,29.07,27.0,30.57,-0.017
0.32,40.34,409.52,-0.066,-0.033,25.682,26.136,84.19,-1.83,96.79,-1068.16,1.4,-21.51,0.0,-0.09,34.03,28.72,28.96,27.07,30.58,-0.017
0.33,40.35,409.38,-0.051,-0.039,25.688000000000002,26.148000000000003,84.35,30.65,97.58,-1092.31,9.32,-14.39,-0.03,-0.09,34.03,28.69,29.1,27.1,30.56,-0.018000000000000002
0.34,40.35,409.25,-0.061,-0.033,25.684,26.156999999999996,84.55,50.96,98.76,-1109.08,10.16,-4.59,-0.05,-0.09,34.04,28.67,29.08,27.1,30.57,-0.018000000000000002
0.35,40.35,409.11,-0.064,-0.034,25.680999999999997,26.168000000000003,84.14,51.99,100.59,-1115.82,4.46,5.34,-0.05,-0.09,34.03,28.7,29.1,27.1,30.58,-0.019
0.36,40.36,409.04,-0.06,-0.04,25.685,26.176,84.35,27.63,102.38,-1106.53,-7.73,13.15,-0.02,-0.09,34.04,28.72,29.11,27.04,30.56,-0.019
0.37,40.35,408.97,-0.069,-0.036000000000000004,25.666,26.177,84.09,-2.76,101.96,-1088.37,-22.94,20.09,0.0,-0.09,34.03,28.81,29.24,27.07,30.56,-0.02
0.38,40.36,408.97,-0.066,-0.036000000000000004,25.686999999999998,26.18,83.79,-27.47,96.06,-1063.75,-40.24,25.02,0.03,-0.09,34.02,28.69,29.1,26.95,30.57,-0.019
0.39,40.34,409.04,-0.066,-0.034,25.680999999999997,26.166999999999998,83.54,-43.98,89.51,-1036.79,-56.65,26.43,0.04,-0.09,34.08,28.67,29.08,27.09,30.58,-0.019
0.4,40.35,409.25,-0.063,-0.03,25.675,26.16,83.49,-53.05,78.88,-1017.86,-68.66,22.78,0.05,-0.08,34.03,28.64,29.07,27.04,30.56,-0.019
0.41,40.35,409.38,-0.064,-0.036000000000000004,25.686999999999998,26.148000000000003,83.38,-56.02,68.5,-1003.97,-75.94,14.44,0.06,-0.07,34.04,28.7,29.07,27.06,30.56,-0.018000000000000002
0.42,40.34,409.45,-0.069,-0.039,25.682,26.141,83.18,-50.82,61.06,-1000.47,-74.26,3.92,0.05,-0.06,34.04,28.81,29.02,27.21,30.58,-0.018000000000000002
