ET,V,SA,IA,RL,FX,FY,FZ,MX,MY,MZ,P,N,RE,TSTI,TSTC,TSTO
0.0,40.3,-0.063,-0.027000000000000003,25.087,76.87,88.2,-1016.02,-69.15,-15.85,37.76,82.78,419.98,25.459,28.43,28.62,26.43
0.01,40.3,-0.07200000000000001,-0.02,25.088,38.85,92.09,-1017.66,-77.02,-9.11,24.93,83.03,419.98,25.459,28.4,28.76,26.21
0.02,40.29,-0.063,-0.036000000000000004,25.092,0.59,99.26,-1019.19,-77.34,0.42,10.88,82.47,419.78,25.465,28.34,28.77,26.43
0.03,40.29,-0.069,-0.033,25.090999999999998,-31.97,102.93,-1027.91,-69.01,10.62,-3.42,82.93,419.64,25.471,28.42,28.66,26.33
0.04,40.28,-0.057,-0.015,25.081999999999997,-48.07,104.47,-1039.19,-55.71,17.68,-14.47,82.88,419.5,25.476,28.37,28.7,26.43
0.05,40.28,-0.06,-0.04,25.094,-50.28,103.15,-1053.92,-37.24,23.07,-21.5,82.68,419.64,25.465,28.51,28.6,26.28
0.06,40.29,-0.07,-0.021,25.085,-38.42,99.92,-1069.88,-17.91,21.14,-22.8,82.63,419.71,25.465999999999998,28.37,28.71,26.42
0.07,40.28,-0.063,-0.036000000000000004,25.088,-20.8,95.59,-1086.09,-1.21,14.27,-19.17,82.73,419.71,25.461,28.43,28.66,26.24
0.08,40.28,-0.067,-0.039,25.094,-5.4,88.88,-1097.71,9.76,1.78,-11.19,82.93,419.78,25.459,28.43,28.71,26.24
0.09,40.28,-0.064,-0.03,25.09,1.84,83.93,-1096.3,11.46,-8.95,-0.33,82.58,419.71,25.463,28.53,28.73,26.22
0.1,40.28,-0.067,-0.031,25.105999999999998,-6.11,76.11,-1081.87,3.27,-14.86,10.88,82.47,419.64,25.468000000000004,28.64,28.76,26.27
0.11,40.28,-0.057999999999999996,-0.04,25.098000000000003,-15.33,75.17,-1056.9,-11.93,-11.47,22.97,82.63,419.64,25.468000000000004,28.61,28.63,26.25
0.12,40.3,-0.057999999999999996,-0.034,25.092,-14.89,78.82,-1031.39,-31.21,-5.26,33.92,82.58,419.44,25.489,28.58,28.74,26.27
0.13,40.29,-0.057,-0.036000000000000004,25.094,2.57,85.32,-1015.02,-49.63,1.88,42.64,82.58,419.57,25.475,28.59,28.7,26.24
0.14,40.3,-0.064,-0.031,25.096999999999998,25.3,93.92,-1008.03,-64.45,5.96,44.23,82.68,419.57,25.480999999999998,28.62,28.65,26.18
0.15,40.3,-0.066,-0.031,25.093000000000004,43.95,100.65,-1004.65,-74.11,7.07,38.67,82.73,419.64,25.476,28.56,28.6,26.19
0.16,40.29,-0.06,-0.039,25.103,45.32,106.96,-1008.24,-76.25,5.75,25.86,82.68,419.85,25.461,28.62,28.46,26.16
0.17,40.3,-0.066,-0.027999999999999997,25.088,29.57,109.09,-1013.94,-71.97,5.24,9.21,82.83,419.64,25.482,28.58,28.56,26.15
0.18,40.31,-0.07200000000000001,-0.03,25.092,1.35,105.97,-1027.02,-60.44,8.29,-8.07,83.03,419.57,25.491999999999997,28.51,28.54,26.15
0.19,40.32,-0.064,-0.04,25.098000000000003,-27.65,102.37,-1043.12,-43.07,10.86,-21.33,83.23,419.64,25.491,28.48,28.51,26.18
0.2,40.32,-0.064,-0.027999999999999997,25.090999999999998,-47.27,95.06,-1055.68,-25.31,11.19,-28.11,83.44,419.57,25.495,28.69,28.6,26.04
0.21,40.32,-0.07200000000000001,-0.036000000000000004,25.092,-54.06,90.01,-1069.69,-6.96,8.77,-26.96,83.44,419.64,25.491,28.43,28.8,26.19
0.22,40.31,-0.057,-0.04,25.094,-53.43,88.92,-1077.58,5.42,2.49,-19.72,83.38,419.71,25.484,28.37,28.54,26.21
0.23,40.31,-0.07200000000000001,-0.033,25.096999999999998,-46.18,86.13,-1076.83,9.93,-3.09,-7.29,83.28,419.64,25.488000000000003,28.56,28.74,26.19
0.24,40.31,-0.064,-0.037000000000000005,25.093000000000004,-43.68,85.34,-1064.86,5.15,-8.14,6.55,83.28,419.64,25.488000000000003,28.59,28.59,26.36
0.25,40.3,-0.067,-0.033,25.095,-35.39,87.06,-1051.28,-5.96,-5.25,21.57,83.23,419.5,25.491,28.54,28.83,26.37
0.26,40.3,-0.061,-0.027000000000000003,25.090999999999998,-13.94,90.02,-1031.23,-23.73,1.47,35.81,83.03,419.57,25.480999999999998,28.43,28.54,26.1
0.27,40.29,-0.063,-0.027999999999999997,25.093000000000004,17.39,93.71,-1015.44,-43.42,2.1,45.67,83.03,419.64,25.474,28.7,28.87,26.36
0.28,40.28,-0.055999999999999994,-0.04,25.094,45.71,98.28,-1005.87,-60.93,0.76,48.09,82.93,419.71,25.463,28.66,28.52,26.13
0.29,40.29,-0.07,-0.055,25.1,56.97,105.14,-1002.43,-72.63,0.63,41.37,83.08,419.71,25.469,28.66,28.48,25.9
0.3,40.29,-0.069,-0.04,25.094,45.32,111.13,-1004.09,-76.93,-1.51,27.43,82.68,419.57,25.475,28.7,28.62,26.13
0.31,40.29,-0.063,-0.04,25.096,15.92,116.12,-1013.81,-72.94,2.14,9.75,82.73,419.57,25.475,28.7,28.45,25.95
0.32,40.29,-0.07,-0.037000000000000005,25.089000000000002,-20.07,112.91,-1031.11,-61.47,7.94,-7.55,82.73,419.44,25.483,28.54,28.54,26.28
0.33,40.29,-0.063,-0.018000000000000002,25.08,-49.56,106.12,-1047.11,-46.91,13.41,-20.41,82.93,419.44,25.483,28.58,28.54,26.1
0.34,40.28,-0.053,-0.046,25.092,-64.03,97.13,-1065.32,-29.83,18.07,-26.83,82.98,419.5,25.476,28.59,28.4,26.24
0.35,40.28,-0.07200000000000001,-0.03,25.081999999999997,-61.34,89.0,-1079.48,-13.41,18.77,-26.05,83.28,419.57,25.469,28.54,28.52,26.08
0.36,40.29,-0.07,-0.03,25.088,-42.31,87.9,-1091.21,0.6,14.39,-18.29,83.33,419.64,25.471,28.67,28.57,26.13
