ET,V,SA,IA,RL,FX,FY,FZ,MX,MY,MZ,P,N,RE,TSTI,TSTC,TSTO
0.0,40.26,-0.069,-0.031,25.14,9.32,62.36,-1058.08,37.51,-12.23,27.62,82.58,419.85,25.44,27.13,26.73,24.19
0.01,40.26,-0.066,-0.027999999999999997,25.136999999999997,0.65,58.36,-1064.9,48.55,-17.91,39.35,82.63,419.91,25.436,27.16,26.62,24.16
0.02,40.26,-0.064,-0.033,25.138,-5.15,54.9,-1066.86,50.54,-26.04,53.77,82.52,420.12,25.427,27.1,26.62,24.22
0.03,40.27,-0.057999999999999996,-0.034,25.143,-13.2,49.81,-1071.25,45.68,-32.93,68.52,82.58,419.78,25.453000000000003,27.02,26.62,24.04
0.04,40.3,-0.061,-0.03,25.136999999999997,-29.42,49.34,-1063.21,31.44,-35.8,79.47,82.47,419.91,25.46,27.0,26.81,24.17
0.05,40.32,-0.057999999999999996,-0.036000000000000004,25.145,-50.12,48.24,-1052.83,13.75,-33.74,84.63,82.68,419.98,25.47,27.13,26.64,24.16
0.06,40.34,-0.061,-0.033,25.138,-68.55,48.43,-1033.85,-6.66,-33.51,84.13,82.78,420.19,25.473000000000003,27.0,26.62,24.17
0.07,40.36,-0.061,-0.034,25.147,-94.48,50.89,-1015.3,-23.68,-25.96,75.98,82.73,420.39,25.471999999999998,27.0,26.61,24.1
0.08,40.37,-0.064,-0.037000000000000005,25.14,-121.23,57.0,-999.83,-35.19,-13.74,63.14,82.68,420.67,25.464000000000002,26.99,26.73,24.1
0.09,40.39,-0.061,-0.031,25.146,-139.44,63.86,-996.71,-38.44,1.56,48.51,82.68,420.6,25.476999999999997,26.92,26.59,24.13
0.1,40.39,-0.054000000000000006,-0.037000000000000005,25.142,-143.89,71.73,-1004.1,-33.15,16.46,34.06,82.88,420.74,25.469,26.92,26.56,24.13
0.11,40.39,-0.057999999999999996,-0.04,25.141,-131.9,76.26,-1017.49,-20.92,24.98,22.13,83.18,420.8,25.465,26.99,26.58,24.13
0.12,40.39,-0.06,-0.037000000000000005,25.144000000000002,-97.66,78.75,-1032.47,-3.49,24.62,17.92,83.28,420.94,25.456999999999997,27.13,26.61,24.17
0.13,40.39,-0.051,-0.033,25.138,-66.18,75.02,-1046.65,16.0,17.02,17.98,83.18,420.94,25.456999999999997,27.23,26.39,24.19
0.14,40.39,-0.064,-0.036000000000000004,25.141,-36.22,70.62,-1055.5,33.46,9.15,24.11,83.13,421.15,25.444000000000003,27.05,26.58,24.25
0.15,40.37,-0.061,-0.033,25.138,-8.96,61.14,-1068.87,47.22,-1.0,35.43,83.03,421.15,25.432,27.15,26.47,24.36
0.16,40.38,-0.061,-0.040999999999999995,25.142,14.91,50.83,-1076.91,51.25,-6.6,50.03,82.83,420.94,25.451,27.15,26.47,23.99
0.17,40.37,-0.053,-0.037000000000000005,25.138,38.85,40.85,-1082.85,46.89,-11.83,65.55,83.03,420.74,25.456999999999997,27.1,26.75,24.48
0.18,40.37,-0.07200000000000001,-0.024,25.133000000000003,63.38,31.99,-1079.53,33.86,-18.0,79.17,83.18,420.87,25.451999999999998,27.05,26.52,24.19
0.19,40.37,-0.066,-0.034,25.136999999999997,81.76,28.18,-1072.8,17.55,-26.85,87.66,83.44,420.67,25.458000000000002,27.11,26.7,24.23
0.2,40.36,-0.051,-0.03,25.139,82.67,26.31,-1053.78,-2.05,-32.08,88.83,83.84,420.74,25.451,26.92,26.52,24.37
0.21,40.37,-0.064,-0.037000000000000005,25.14,62.67,30.22,-1032.91,-19.14,-31.85,82.36,84.14,420.74,25.454,27.1,26.67,24.48
0.22,40.37,-0.067,-0.027999999999999997,25.136999999999997,32.29,35.46,-1018.06,-31.66,-21.56,70.43,83.94,420.74,25.456999999999997,27.05,26.52,24.26
0.23,40.36,-0.057999999999999996,-0.025,25.136999999999997,3.69,41.62,-1013.49,-36.51,-6.48,55.46,83.79,420.53,25.461,27.11,26.7,24.51
0.24,40.36,-0.05,-0.031,25.136,-10.19,44.58,-1023.2,-32.83,4.78,40.97,83.64,420.53,25.464000000000002,27.07,26.58,24.43
0.25,40.35,-0.055999999999999994,-0.025,25.136999999999997,-11.63,47.55,-1033.43,-23.33,8.75,29.05,83.13,420.53,25.458000000000002,27.07,26.61,24.26
0.26,40.35,-0.06,-0.031,25.136,-11.7,48.72,-1044.15,-8.19,9.57,20.77,83.49,420.53,25.455,27.08,26.67,24.28
0.27,40.36,-0.054000000000000006,-0.04,25.143,-9.85,49.98,-1055.54,10.4,8.05,18.66,83.64,420.74,25.448,27.1,26.7,24.33
0.28,40.36,-0.063,-0.031,25.14,-3.54,46.13,-1069.66,28.67,6.15,22.77,83.79,420.8,25.447,27.13,26.56,24.13
0.29,40.35,-0.055999999999999994,-0.033,25.136,11.55,36.71,-1079.95,42.16,-1.61,33.0,83.94,420.74,25.445,27.1,26.81,24.34
0.3,40.36,-0.057999999999999996,-0.027000000000000003,25.138,30.57,25.64,-1091.6,50.06,-14.04,47.39,83.79,420.6,25.456999999999997,27.08,26.73,24.33
