ET,V,SA,IA,RL,FX,FY,FZ,MX,MY,MZ,P,N,RE,TSTI,TSTC,TSTO
0.0,40.29,-0.075,-0.03,21.788,-427.4,99.72,-1025.07,-76.84,11.38,-17.92,83.69,483.03,22.128,23.04,23.55,21.81
0.01,40.3,-0.07200000000000001,-0.03,21.791999999999998,-435.8,97.04,-1046.68,-71.66,14.77,-35.08,83.59,483.1,22.13,23.16,23.38,21.73
0.02,40.3,-0.066,-0.024,21.784000000000002,-441.39,92.44,-1066.3,-58.79,12.72,-48.24,83.38,483.17,22.131999999999998,23.12,23.47,21.7
0.03,40.3,-0.067,-0.031,21.787,-447.24,91.62,-1077.98,-39.56,7.27,-53.96,83.33,483.1,22.135,22.98,23.35,21.76
0.04,40.31,-0.07,-0.025,21.789,-460.28,93.54,-1074.77,-18.56,3.63,-52.32,83.38,483.1,22.14,22.97,23.36,21.56
0.05,40.31,-0.07,-0.036000000000000004,21.793000000000003,-478.45,94.85,-1058.82,-2.12,2.52,-43.74,83.84,483.03,22.141,23.03,23.64,21.79
0.06,40.32,-0.069,-0.033,21.785999999999998,-492.85,95.78,-1040.01,6.59,3.62,-29.28,83.89,482.96,22.151999999999997,23.19,23.67,21.73
0.07,40.31,-0.086,-0.008,21.775,-497.53,93.34,-1021.11,2.64,9.87,-12.07,83.89,482.89,22.15,23.06,23.62,21.9
0.08,40.31,-0.07,-0.008,21.776999999999997,-488.62,88.77,-1009.83,-11.4,16.57,2.9,83.84,483.03,22.143,23.16,23.62,21.69
0.09,40.31,-0.075,-0.031,21.789,-459.61,86.37,-1005.67,-31.81,20.67,12.84,83.64,483.44,22.122,23.03,23.7,21.85
0.1,40.31,-0.077,-0.027000000000000003,21.781,-422.85,89.19,-1008.48,-52.92,20.8,13.76,83.89,483.65,22.113000000000003,23.16,23.92,21.78
0.11,40.3,-0.064,-0.03,21.784000000000002,-389.95,94.31,-1016.89,-69.68,21.9,5.61,83.28,483.99,22.094,23.17,23.78,21.7
0.12,40.3,-0.07,-0.021,21.773000000000003,-364.74,100.25,-1031.94,-77.12,20.28,-8.81,83.33,484.06,22.086,23.06,24.0,21.69
0.13,40.3,-0.066,-0.015,21.775,-348.51,100.91,-1047.29,-76.68,22.54,-26.26,83.18,484.26,22.079,23.03,23.87,22.05
0.14,40.29,-0.07200000000000001,-0.011000000000000001,21.773000000000003,-334.71,101.84,-1067.14,-65.53,20.57,-41.28,83.18,484.19,22.075,23.01,23.79,21.55
0.15,40.3,-0.069,-0.03,21.783,-325.6,100.43,-1084.45,-46.9,16.08,-50.69,82.93,484.19,22.083000000000002,23.16,23.72,21.88
0.16,40.29,-0.06,-0.036000000000000004,21.783,-321.76,99.0,-1091.89,-24.52,10.18,-51.68,83.03,484.26,22.074,22.93,23.67,21.72
0.17,40.3,-0.066,-0.031,21.783,-328.48,96.75,-1086.32,-4.42,4.34,-45.85,83.18,484.19,22.085,23.06,23.76,21.75
0.18,40.31,-0.07200000000000001,-0.036000000000000004,21.783,-340.68,94.36,-1069.69,6.74,0.27,-33.29,83.23,484.33,22.081,23.06,23.7,21.76
0.19,40.31,-0.07,-0.027000000000000003,21.785,-353.96,93.62,-1049.36,7.16,1.08,-16.87,82.88,484.33,22.084,23.06,23.67,21.81
0.2,40.33,-0.069,-0.027999999999999997,21.776,-361.38,93.32,-1036.42,-3.08,7.81,-0.52,82.93,484.26,22.096999999999998,23.08,23.79,21.81
0.21,40.35,-0.069,-0.031,21.785,-353.28,93.51,-1027.78,-22.01,12.84,11.8,82.78,484.4,22.101,23.0,23.76,21.81
0.22,40.36,-0.066,-0.03,21.776999999999997,-332.55,96.32,-1024.9,-44.66,12.52,16.92,82.83,484.54,22.098000000000003,23.04,23.75,21.79
0.23,40.36,-0.07,-0.033,21.778000000000002,-315.59,98.59,-1027.66,-64.47,8.86,12.13,82.68,484.6,22.094,23.08,23.73,21.73
0.24,40.36,-0.07200000000000001,-0.037000000000000005,21.781999999999996,-311.16,104.56,-1035.31,-76.67,8.78,-0.52,82.68,484.67,22.090999999999998,23.04,23.87,21.73
0.25,40.37,-0.07200000000000001,-0.033,21.78,-319.78,106.55,-1049.88,-78.36,12.27,-18.46,82.78,484.47,22.108,23.06,23.73,21.64
0.26,40.37,-0.07200000000000001,-0.027000000000000003,21.776999999999997,-327.54,106.01,-1071.13,-69.19,16.67,-35.72,83.28,484.88,22.092,23.11,23.7,21.62
0.27,40.37,-0.066,-0.036000000000000004,21.787,-329.93,105.83,-1086.96,-52.91,18.6,-48.19,83.79,485.08,22.08,23.06,23.7,21.56
0.28,40.38,-0.063,-0.031,21.781,-326.46,102.89,-1096.03,-31.74,17.76,-53.17,83.99,485.08,22.085,23.12,23.72,21.56
0.29,40.37,-0.073,-0.031,21.789,-318.08,100.0,-1090.79,-11.98,13.69,-49.18,83.99,485.15,22.076999999999998,22.98,23.56,21.43
0.3,40.37,-0.07200000000000001,-0.034,21.781999999999996,-310.48,95.59,-1069.25,-0.12,8.78,-38.28,83.79,485.22,22.074,23.03,23.79,21.58
0.31,40.37,-0.067,-0.025,21.781,-303.7,95.01,-1048.47,5.42,5.35,-21.35,83.38,485.08,22.078000000000003,23.04,23.81,21.62
0.32,40.36,-0.069,-0.027000000000000003,21.785,-298.83,96.97,-1036.68,1.71,7.76,-4.16,83.18,485.08,22.075,22.93,23.81,21.61
0.33,40.36,-0.069,-0.018000000000000002,21.778000000000002,-288.53,99.24,-1024.02,-12.98,10.64,9.83,83.23,484.81,22.085,23.14,23.95,21.73
0.34,40.35,-0.07,-0.033,21.79,-267.98,102.31,-1014.25,-34.25,13.15,17.52,83.54,484.95,22.074,23.11,23.62,21.52
0.35,40.34,-0.07200000000000001,-0.018000000000000002,21.781999999999996,-246.78,105.06,-1012.34,-54.8,16.44,16.0,83.64,485.01,22.068,23.17,23.93,21.59
0.36,40.34,-0.066,-0.033,21.79,-226.25,108.97,-1014.8,-71.52,19.48,6.07,83.64,485.01,22.066,23.19,23.72,21.37
0.37,40.33,-0.07,-0.031,21.791,-208.37,110.17,-1026.47,-78.39,21.61,-9.12,83.44,485.08,22.06,22.97,23.69,21.44
0.38,40.32,-0.06,-0.033,21.788,-191.41,111.69,-1045.0,-74.18,20.67,-26.38,83.08,485.08,22.055,22.77,23.65,21.53
0.39,40.32,-0.076,-0.027000000000000003,21.787,-178.75,111.26,-1066.33,-60.74,15.52,-40.71,83.28,485.22,22.049,22.85,23.65,21.22
0.4,40.32,-0.066,-0.033,21.785999999999998,-176.61,109.07,-1081.38,-40.51,5.28,-48.87,83.64,485.36,22.04,23.0,23.75,21.61
0.41,40.31,-0.063,-0.05,21.795,-191.68,104.97,-1086.4,-18.6,-3.46,-49.27,83.84,485.01,22.053,22.97,23.55,21.78
0.42,40.31,-0.067,-0.027999999999999997,21.79,-219.32,101.09,-1076.49,-0.98,-9.47,-41.54,84.14,484.81,22.061999999999998,22.95,23.73,21.15
0.43,40.32,-0.069,-0.031,21.789,-254.47,97.94,-1057.69,8.4,-9.56,-27.97,83.99,484.54,22.076999999999998,23.0,23.75,21.47
0.44,40.31,-0.076,-0.027000000000000003,21.789,-284.03,93.68,-1036.0,5.77,-4.7,-11.06,83.84,484.26,22.087,23.17,23.92,21.47
0.45,40.3,-0.066,-0.03,21.788,-300.88,94.74,-1024.33,-5.91,5.34,4.28,83.64,484.26,22.076999999999998,23.04,23.76,21.73
0.46,40.3,-0.076,-0.025,21.791,-296.99,96.9,-1009.97,-27.13,12.41,14.47,83.49,484.19,22.081999999999997,23.06,23.72,21.67
