ET,V,SA,IA,RL,FX,FY,FZ,MX,MY,MZ,P,N,RE,TSTI,TSTC,TSTO
0.0,40.31,-0.066,-0.04,25.489,127.45,72.46,-1132.4,60.75,-28.77,54.56,82.68,412.46,25.929000000000002,30.12,30.15,28.85
0.01,40.32,-0.07,-0.036000000000000004,25.485,109.34,72.09,-1120.54,49.32,-34.72,65.39,82.63,412.32,25.947,30.09,30.07,28.8
0.02,40.32,-0.069,-0.04,25.487,85.49,75.93,-1095.87,33.47,-41.41,74.66,82.73,412.32,25.944000000000003,30.04,30.16,28.86
0.03,40.32,-0.075,-0.033,25.48,53.01,74.79,-1058.93,13.24,-46.28,79.21,82.58,412.39,25.939,30.1,30.15,28.85
0.04,40.33,-0.073,-0.031,25.489,7.03,73.11,-1019.19,-5.35,-44.09,77.27,82.58,412.46,25.941,30.05,30.1,28.85
0.05,40.35,-0.076,-0.033,25.482,-47.12,73.02,-987.2,-17.12,-29.35,69.53,82.58,412.73,25.936,29.93,30.13,28.79
0.06,40.34,-0.073,-0.033,25.486,-87.46,69.58,-968.1,-21.92,-7.98,59.53,82.52,412.73,25.93,30.15,30.01,28.57
0.07,40.35,-0.07,-0.033,25.482,-96.0,66.98,-960.61,-19.76,14.96,50.85,82.58,413.01,25.921999999999997,30.17,30.1,28.68
0.08,40.34,-0.069,-0.039,25.488000000000003,-65.91,61.77,-970.23,-10.69,29.74,44.77,82.52,413.14,25.906999999999996,29.99,30.15,28.69
0.09,40.34,-0.063,-0.036000000000000004,25.483,-12.31,57.87,-999.83,4.15,32.87,39.72,82.47,413.49,25.886,30.09,30.21,28.65
0.1,40.33,-0.067,-0.031,25.483,49.6,56.76,-1035.9,21.85,24.88,36.55,82.52,413.42,25.881,30.02,30.3,28.65
0.11,40.34,-0.07200000000000001,-0.036000000000000004,25.476999999999997,96.24,57.79,-1072.93,39.55,11.61,34.39,82.52,413.42,25.886999999999997,30.32,30.36,28.54
0.12,40.33,-0.07200000000000001,-0.036000000000000004,25.487,121.19,60.08,-1105.67,54.16,-6.45,34.65,82.47,413.21,25.897,30.01,30.19,28.69
0.13,40.33,-0.067,-0.036000000000000004,25.483,117.01,62.21,-1121.37,61.06,-23.98,37.48,82.47,413.14,25.901,30.15,30.13,28.45
0.14,40.33,-0.067,-0.04,25.485,89.47,67.02,-1129.74,62.54,-35.07,43.39,82.58,412.73,25.927,30.23,30.23,28.89
0.15,40.32,-0.069,-0.037000000000000005,25.480999999999998,53.17,70.93,-1123.63,56.37,-35.57,53.19,82.52,412.53,25.934,29.94,30.32,28.71
