ET,V,SA,IA,RL,FX,FY,FZ,MX,MY,MZ,P,N,RE,TSTI,TSTC,TSTO
0.0,40.27,-0.057,-0.036000000000000004,25.691,-44.55,79.96,-992.97,-48.36,26.61,-21.8,83.59,409.04,26.118000000000002,28.56,28.91,27.28
0.01,40.27,-0.07,-0.034,25.691,-27.29,83.84,-1008.73,-30.69,30.54,-26.59,83.89,409.11,26.114,28.58,29.02,26.89
0.02,40.26,-0.069,-0.03,25.685,-2.55,85.52,-1034.81,-12.81,30.7,-26.39,83.59,409.04,26.115,28.58,29.1,26.87
0.03,40.26,-0.05,-0.031,25.685,30.46,89.9,-1065.55,2.55,25.34,-20.08,83.49,408.91,26.124000000000002,28.64,29.04,26.86
0.04,40.26,-0.063,-0.033,25.69,63.77,93.4,-1092.75,11.19,18.05,-9.83,82.78,408.84,26.125999999999998,28.64,29.22,27.0
0.05,40.26,-0.066,-0.031,25.689,93.5,96.66,-1113.63,11.41,4.64,2.7,82.93,408.63,26.142,28.67,29.16,27.04
0.06,40.25,-0.066,-0.04,25.691,107.89,97.78,-1125.11,3.83,-9.74,14.16,83.23,408.63,26.136,28.67,29.16,27.03
0.07,40.27,-0.063,-0.036000000000000004,25.695,101.38,91.77,-1122.84,-10.03,-19.39,22.62,82.78,408.56,26.149,28.7,29.22,27.01
0.08,40.27,-0.061,-0.034,25.691,82.44,83.73,-1102.23,-27.59,-26.05,28.25,82.83,408.43,26.158,28.7,29.11,27.04
0.09,40.27,-0.064,-0.039,25.688000000000002,48.77,73.77,-1071.39,-45.05,-26.5,28.48,82.68,408.36,26.165,28.78,29.19,27.04
0.1,40.27,-0.064,-0.034,25.693,11.8,61.7,-1035.25,-62.34,-25.56,24.66,82.68,408.63,26.145,28.75,29.16,27.03
0.11,40.28,-0.061,-0.031,25.691,-33.42,54.66,-1007.2,-72.73,-21.62,15.45,82.63,408.49,26.16,28.78,29.13,26.98
0.12,40.28,-0.057,-0.036000000000000004,25.689,-85.75,49.93,-988.06,-76.64,-12.76,1.43,82.52,408.49,26.16,28.77,29.14,27.09
0.13,40.29,-0.064,-0.031,25.695,-129.91,50.09,-978.43,-73.4,2.74,-12.55,82.58,408.56,26.160999999999998,28.86,29.11,26.9
