ET,V,SA,IA,RL,FX,FY,FZ,MX,MY,MZ,P,N,RE,TSTI,TSTC,TSTO
0.38,40.27,-0.06,-0.036000000000000004,22.055999999999997,-237.29,137.45,-975.51,-57.83,-1.66,-41.11,82.68,475.85,22.454,26.64,26.33,23.43
0.39,40.26,-0.054000000000000006,-0.034,22.059,-271.75,137.25,-984.97,-37.92,4.93,-47.02,82.63,475.99,22.44,26.67,26.41,23.72
0.4,40.26,-0.057,-0.039,22.057,-289.09,139.73,-1009.43,-18.73,11.64,-44.47,82.68,475.85,22.445999999999998,26.8,26.38,23.54
0.41,40.26,-0.057,-0.034,22.053,-284.12,141.87,-1046.41,-3.97,13.98,-33.89,82.78,475.65,22.456,26.72,26.38,23.84
0.42,40.27,-0.069,-0.039,22.055,-265.58,144.55,-1082.54,3.0,13.58,-18.4,82.78,475.58,22.464000000000002,27.07,26.35,23.69
0.43,40.28,-0.06,-0.034,22.053,-241.13,148.34,-1106.57,0.28,7.32,-0.92,83.03,475.51,22.475,26.89,26.22,23.55
0.44,40.3,-0.047,-0.025,22.048000000000002,-223.99,151.27,-1115.35,-11.38,3.16,13.57,83.13,475.44,22.491999999999997,26.81,26.42,23.6
0.45,40.32,-0.06,-0.03,22.055,-212.45,152.19,-1107.24,-29.7,0.38,22.04,82.73,475.71,22.489,26.99,26.14,23.76
0.46,40.34,-0.055999999999999994,-0.046,22.058000000000003,-211.51,152.63,-1085.16,-49.42,0.21,21.24,83.08,475.78,22.496,26.86,26.14,23.63
0.47,40.35,-0.057,-0.027000000000000003,22.052,-217.88,152.91,-1057.89,-65.72,-0.76,12.56,82.88,475.99,22.491999999999997,26.76,26.22,23.51
0.48,40.36,-0.061,-0.036000000000000004,22.058000000000003,-234.18,149.53,-1026.09,-76.11,-2.0,-1.91,82.47,475.99,22.494,26.7,26.24,23.55
0.49,40.36,-0.085,-0.034,22.057,-260.12,144.92,-997.67,-76.68,-0.62,-18.88,82.73,476.06,22.494,26.7,26.05,23.63
0.5,40.36,-0.06,-0.025,22.052,-291.63,141.14,-977.71,-67.3,4.64,-34.96,82.73,476.33,22.478,26.67,26.08,23.7
0.51,40.37,-0.057,-0.037000000000000005,22.06,-317.74,137.64,-973.22,-51.43,12.76,-46.01,82.78,476.26,22.487,26.61,26.1,23.72
0.52,40.35,-0.063,-0.039,22.055,-324.03,135.35,-991.29,-30.9,23.37,-48.21,82.68,476.33,22.473000000000003,26.64,26.11,23.73
0.53,40.35,-0.057999999999999996,-0.039,22.055,-302.83,137.7,-1025.35,-12.15,30.71,-41.48,82.58,476.53,22.463,26.78,26.33,23.76
0.54,40.34,-0.057,-0.03,22.046,-255.02,140.43,-1065.32,0.87,32.74,-27.43,82.83,476.6,22.458000000000002,26.75,26.36,23.66
0.55,40.33,-0.054000000000000006,-0.03,22.052,-194.15,145.08,-1100.91,4.31,24.8,-9.63,82.83,476.67,22.449,26.81,26.27,23.7
0.56,40.33,-0.066,-0.027000000000000003,22.054000000000002,-139.02,148.8,-1120.87,-3.02,12.28,8.07,82.83,476.6,22.45,26.8,26.27,23.72
