ET,V,SA,IA,RL,FX,FY,FZ,MX,MY,MZ,P,N,RE,TSTI,TSTC,TSTO
0.0,40.3,-0.063,-0.039,21.506,-134.75,110.86,-1037.12,-38.95,26.72,24.23,83.64,487.0,21.953000000000003,25.14,24.86,22.05
0.01,40.3,-0.057,-0.034,21.518,-55.96,113.7,-1055.96,-55.41,20.36,33.11,83.13,487.13,21.951999999999998,24.98,24.83,22.14
0.02,40.3,-0.063,-0.03,21.496,-5.73,114.03,-1064.51,-67.36,9.85,28.16,83.18,487.07,21.951999999999998,24.94,24.78,22.13
0.03,40.3,-0.063,-0.025,21.506,-3.57,116.78,-1065.46,-70.05,0.31,10.45,82.93,486.86,21.962,24.9,24.71,22.28
0.04,40.3,-0.07,-0.031,21.505,-44.13,115.06,-1056.9,-65.14,-1.91,-13.47,82.88,486.72,21.97,24.92,24.77,22.19
0.05,40.31,-0.063,-0.039,21.511999999999997,-99.35,113.53,-1054.43,-51.64,1.9,-34.26,82.83,486.79,21.97,24.95,24.75,22.08
0.06,40.31,-0.06,-0.04,21.504,-147.63,108.54,-1056.13,-33.19,3.48,-47.39,82.78,487.0,21.963,24.95,24.74,22.13
0.07,40.31,-0.057,-0.037000000000000005,21.505,-183.19,105.55,-1054.78,-15.26,2.11,-51.12,82.68,486.93,21.964000000000002,24.95,24.78,22.17
0.08,40.32,-0.063,-0.033,21.509,-209.01,102.42,-1050.88,-0.85,1.3,-47.16,82.73,487.07,21.962,25.0,24.94,22.22
0.09,40.31,-0.057,-0.04,21.502,-223.06,102.67,-1035.72,4.19,5.17,-35.91,82.68,487.07,21.96,25.05,24.71,22.41
0.1,40.31,-0.061,-0.025,21.502,-219.4,105.14,-1022.25,-0.75,14.98,-19.6,82.63,487.0,21.96,25.21,24.72,22.29
0.11,40.3,-0.063,-0.031,21.505,-172.36,109.63,-1020.76,-13.04,25.0,2.62,82.63,487.27,21.941,25.0,24.77,22.29
0.12,40.31,-0.063,-0.021,21.498,-95.5,112.36,-1030.54,-31.37,27.86,22.67,82.47,487.41,21.941999999999997,25.11,24.78,22.31
