ET,V,SA,IA,RL,FX,FY,FZ,MX,MY,MZ,P,N,RE,TSTI,TSTC,TSTO
0.0,40.18,-0.054000000000000006,-0.037000000000000005,21.528000000000002,-381.07,79.28,-1050.4,1.91,19.89,-42.16,84.24,482.89,22.078000000000003,26.02,25.51,22.93
0.01,40.19,-0.053,-0.039,21.525,-343.79,84.72,-1062.24,3.25,17.51,-25.08,84.5,482.76,22.087,25.99,25.53,22.94
0.02,40.18,-0.057999999999999996,-0.025,21.528000000000002,-298.66,86.98,-1066.39,-6.92,10.12,-7.41,84.3,482.69,22.087,25.97,25.49,22.87
0.03,40.21,-0.053,-0.039,21.537,-262.02,91.47,-1060.72,-23.62,-0.51,5.98,84.19,482.69,22.1,25.97,25.48,22.84
0.04,40.21,-0.06,-0.036000000000000004,21.528000000000002,-248.28,93.05,-1047.41,-42.76,-12.56,11.67,83.94,482.89,22.093000000000004,26.1,25.46,22.81
0.05,40.23,-0.064,-0.031,21.531999999999996,-267.36,90.56,-1027.96,-60.76,-17.03,7.69,83.64,482.96,22.103,25.86,25.37,22.7
0.06,40.26,-0.06,-0.033,21.529,-313.9,87.62,-1015.21,-71.82,-13.42,-4.08,83.59,483.03,22.115,26.03,25.4,22.61
0.07,40.28,-0.053,-0.033,21.525,-365.74,82.08,-1006.18,-75.78,-1.99,-18.38,83.84,483.17,22.116999999999997,25.91,25.26,22.78
0.08,40.28,-0.054000000000000006,-0.03,21.526999999999997,-403.61,79.51,-1003.41,-69.81,13.83,-31.33,84.09,483.44,22.107,26.02,25.42,22.72
0.09,40.3,-0.054000000000000006,-0.031,21.522,-413.69,77.88,-1012.73,-54.12,28.04,-39.65,84.35,483.85,22.098000000000003,25.89,25.37,22.99
0.1,40.29,-0.053,-0.03,21.523000000000003,-397.9,78.36,-1023.65,-34.93,33.38,-42.85,84.24,484.19,22.076999999999998,25.95,25.31,22.61
0.11,40.3,-0.06,-0.03,21.518,-361.68,79.5,-1038.19,-16.15,35.02,-40.87,83.99,484.6,22.064,25.94,25.51,22.87
0.12,40.3,-0.067,-0.034,21.523000000000003,-308.77,83.95,-1055.85,-2.37,31.55,-32.44,83.79,484.88,22.054000000000002,25.99,25.46,22.98
0.13,40.3,-0.054000000000000006,-0.03,21.52,-253.33,88.75,-1070.55,1.86,24.13,-20.58,83.33,484.81,22.054000000000002,25.91,25.49,22.76
0.14,40.3,-0.076,-0.037000000000000005,21.524,-196.47,95.49,-1081.35,-3.0,17.39,-5.92,83.69,484.6,22.061,25.95,25.31,22.79
0.15,40.3,-0.06,-0.037000000000000005,21.523000000000003,-144.99,98.53,-1084.92,-15.46,10.57,7.95,83.49,484.74,22.06,25.86,25.46,22.84
0.16,40.3,-0.063,-0.03,21.521,-104.23,100.76,-1075.14,-33.69,4.32,17.62,83.64,484.6,22.066,25.87,25.54,23.08
0.17,40.31,-0.051,-0.031,21.518,-80.3,97.57,-1061.91,-52.2,1.31,20.1,83.94,484.67,22.066,25.83,25.37,23.02
0.18,40.32,-0.057,-0.03,21.523000000000003,-75.63,92.42,-1046.91,-67.33,0.35,14.47,83.79,484.95,22.058000000000003,25.84,25.39,22.63
0.19,40.33,-0.061,-0.043,21.529,-89.14,86.24,-1038.6,-74.4,2.4,1.78,83.49,485.22,22.054000000000002,25.89,25.34,22.9
0.2,40.34,-0.06,-0.025,21.52,-115.32,81.35,-1036.3,-72.72,3.06,-14.66,83.38,485.36,22.05,25.91,25.2,22.66
0.21,40.35,-0.057,-0.033,21.523000000000003,-151.18,78.32,-1036.9,-62.32,5.94,-31.61,83.03,485.49,22.049,26.02,25.31,22.66
0.22,40.34,-0.057,-0.034,21.517,-188.23,76.77,-1045.03,-44.03,11.06,-44.99,83.74,485.56,22.043000000000003,25.92,25.29,22.7
0.23,40.34,-0.054000000000000006,-0.037000000000000005,21.526,-214.37,81.48,-1050.24,-24.7,16.56,-50.93,83.94,485.77,22.034000000000002,25.89,25.31,22.81
0.24,40.35,-0.057,-0.031,21.518,-216.18,83.86,-1064.22,-7.49,24.0,-46.6,83.89,485.7,22.041999999999998,25.91,25.32,22.85
0.25,40.35,-0.051,-0.034,21.535,-184.32,91.65,-1078.64,3.05,27.83,-32.34,83.84,485.7,22.04,25.83,25.36,22.87
0.26,40.34,-0.054000000000000006,-0.036000000000000004,21.534000000000002,-123.72,94.25,-1089.81,1.57,27.86,-12.7,83.79,485.77,22.034000000000002,26.05,25.39,22.75
0.27,40.34,-0.057999999999999996,-0.034,21.531,-45.61,95.21,-1091.03,-10.35,20.31,8.27,83.59,485.63,22.038,25.91,25.37,22.91
0.28,40.33,-0.057,-0.036000000000000004,21.53,23.38,95.42,-1084.22,-28.28,7.39,22.82,83.64,485.77,22.026,25.86,25.29,22.91
0.29,40.34,-0.06,-0.034,21.529,60.75,92.19,-1071.31,-47.31,-2.02,26.57,83.64,485.9,22.025,25.83,25.31,22.9
0.3,40.33,-0.055999999999999994,-0.039,21.537,64.83,89.85,-1056.78,-62.73,-6.1,21.06,83.13,485.9,22.02,25.91,25.31,22.9
0.31,40.32,-0.054000000000000006,-0.034,21.537,41.56,87.61,-1044.63,-72.23,-5.62,8.05,83.08,485.77,22.024,25.89,25.26,22.79
0.32,40.32,-0.057999999999999996,-0.033,21.538,3.37,85.62,-1037.56,-72.79,-0.92,-8.64,82.88,485.77,22.021,25.91,25.26,22.82
0.33,40.3,-0.053,-0.036000000000000004,21.544,-38.58,82.52,-1040.12,-62.72,3.35,-25.66,82.78,485.56,22.023000000000003,25.81,25.26,22.85
0.34,40.3,-0.053,-0.039,21.537,-80.24,80.94,-1038.52,-48.27,9.35,-40.06,82.63,485.63,22.017,26.08,25.37,22.88
