ET,V,N,SA,IA,RL,RE,P,FX,FY,FZ,MX,MZ,NFX,NFY,RST,TSTI,TSTC,TSTO,AMBTMP,SR
0.0,25.02,426.0,-0.05,-0.034,9.57,9.87,11.94,-57.47,29.79,-238.16,1.7,3.42,0.24,-0.13,93.26,82.66,85.85,82.15,88.7,-0.03
0.01,25.03,425.8,-0.051,-0.034,9.572000000000001,9.881,11.92,-55.32,29.69,-242.07,11.63,2.18,0.23,-0.12,93.25,83.12,85.79,82.09,88.71,-0.031
0.02,25.04,425.59,-0.061,-0.03,9.57,9.89,11.94,-57.53,30.01,-244.03,16.88,4.6,0.24,-0.12,93.26,83.12,85.79,81.87,88.74,-0.032
0.03,25.05,425.52,-0.055999999999999994,-0.036000000000000004,9.571,9.895,11.95,-62.97,30.95,-244.7,17.41,10.42,0.26,-0.13,93.25,83.12,85.24,82.26,88.7,-0.033
0.04,25.06,425.32,-0.05,-0.03,9.57,9.901,11.94,-69.36,32.28,-242.65,11.82,18.65,0.29,-0.13,93.14,83.41,85.82,82.2,88.69,-0.033
0.05,25.06,425.45,-0.057999999999999996,-0.009000000000000001,9.567,9.899,11.95,-72.19,32.92,-239.5,1.61,29.17,0.3,-0.14,93.25,83.44,85.79,81.63,88.72,-0.034
0.06,25.06,425.8,-0.053,-0.044000000000000004,9.572000000000001,9.89,11.96,-70.67,33.38,-234.86,-11.53,38.81,0.3,-0.14,93.28,83.15,85.82,82.26,88.72,-0.032
0.07,25.05,426.21,-0.064,-0.036000000000000004,9.57,9.878,11.94,-65.08,33.11,-230.17,-24.96,45.27,0.28,-0.14,93.3,83.09,85.43,82.12,88.68,-0.031
0.08,25.05,426.62,-0.047,-0.036000000000000004,9.57,9.87,11.94,-56.9,33.05,-226.17,-35.31,46.69,0.25,-0.15,93.25,83.18,85.6,81.96,88.69,-0.03
0.09,25.05,427.16,-0.051,-0.04,9.572000000000001,9.855,11.94,-48.4,32.11,-223.65,-41.71,42.61,0.22,-0.14,93.22,82.95,85.65,81.93,88.73,-0.028999999999999998
0.1,25.06,427.44,-0.055999999999999994,-0.024,9.571,9.852,11.9,-40.73,31.3,-223.68,-41.97,34.22,0.18,-0.14,93.25,83.12,85.77,82.12,88.7,-0.028999999999999998
0.11,25.06,427.57,-0.054000000000000006,-0.039,9.573,9.849,11.89,-32.32,30.46,-226.36,-36.34,24.87,0.14,-0.13,93.27,83.01,85.6,82.5,88.67,-0.027999999999999997
0.12,25.06,427.85,-0.048,-0.063,9.576,9.845,11.89,-23.34,29.67,-231.26,-25.6,16.53,0.1,-0.13,93.27,82.78,85.65,81.79,88.71,-0.027000000000000003
0.13,25.06,427.92,-0.057999999999999996,-0.04,9.57,9.844,11.94,-13.84,28.77,-237.47,-12.03,10.78,0.06,-0.12,93.28,82.98,85.68,82.04,88.71,-0.027999999999999997
0.14,25.07,427.78,-0.051,-0.024,9.568999999999999,9.847999999999999,11.94,-4.37,28.67,-242.54,1.83,8.6,0.02,-0.12,93.3,82.92,85.63,82.2,88.68,-0.027999999999999997
0.15,25.06,427.71,-0.054000000000000006,-0.036000000000000004,9.57,9.849,11.95,4.57,28.93,-246.97,13.8,10.55,-0.02,-0.12,93.26,82.89,85.68,82.12,88.68,-0.027999999999999997
0.16,25.08,427.78,-0.055999999999999994,-0.027000000000000003,9.568,9.852,11.94,12.36,29.73,-249.54,21.58,15.87,-0.05,-0.12,93.25,82.98,85.65,82.07,88.71,-0.028999999999999998
0.17,25.08,427.44,-0.057,-0.036000000000000004,9.571,9.86,11.93,18.28,30.68,-250.04,22.87,23.73,-0.07,-0.12,93.26,82.98,85.74,81.77,88.69,-0.028999999999999998
0.18,25.07,427.3,-0.053,-0.033,9.571,9.862,11.94,22.77,31.24,-247.92,17.29,33.12,-0.09,-0.13,93.21,83.04,85.57,81.74,88.67,-0.03
0.19,25.08,427.37,-0.054000000000000006,-0.037000000000000005,9.572000000000001,9.861,11.92,25.74,31.17,-243.68,5.89,41.75,-0.11,-0.13,93.22,83.04,85.65,82.04,88.69,-0.028999999999999998
