ET,V,N,SA,IA,RL,RE,P,FX,FY,FZ,MX,MZ,NFX,NFY,RST,TSTI,TSTC,TSTO,AMBTMP,SR
0.0,25.03,409.04,-0.057,-0.036000000000000004,10.115,10.283,12.12,-10.02,17.98,-223.24,-35.66,-16.07,0.04,-0.08,93.26,83.41,84.04,81.11,87.02,-0.016
0.01,25.03,409.11,-0.07,-0.034,10.113999999999999,10.280999999999999,12.17,-6.14,18.85,-226.78,-22.63,-19.61,0.03,-0.08,93.26,83.44,84.24,80.4,87.0,-0.016
0.02,25.02,409.04,-0.069,-0.03,10.112,10.282,12.12,-0.57,19.23,-232.65,-9.45,-19.46,0.0,-0.08,93.26,83.44,84.37,80.37,87.02,-0.017
0.03,25.02,408.91,-0.05,-0.031,10.112,10.285,12.11,6.85,20.21,-239.56,1.88,-14.81,-0.03,-0.08,93.23,83.55,84.26,80.35,87.05,-0.017
0.04,25.02,408.84,-0.063,-0.033,10.113999999999999,10.286,12.01,14.34,21.0,-245.67,8.25,-7.25,-0.06,-0.09,93.23,83.55,84.6,80.59,87.02,-0.017
0.05,25.02,408.63,-0.066,-0.031,10.113999999999999,10.292,12.03,21.02,21.73,-250.37,8.42,1.99,-0.08,-0.09,93.25,83.61,84.49,80.67,87.0,-0.017
0.06,25.02,408.63,-0.066,-0.04,10.115,10.29,12.07,24.26,21.98,-252.95,2.82,10.45,-0.1,-0.09,93.26,83.61,84.49,80.65,87.04,-0.017
0.07,25.03,408.56,-0.063,-0.036000000000000004,10.116,10.295,12.01,22.79,20.63,-252.44,-7.4,16.68,-0.09,-0.08,93.26,83.67,84.6,80.62,87.03,-0.017
0.08,25.03,408.43,-0.061,-0.034,10.113999999999999,10.298,12.01,18.53,18.82,-247.8,-20.35,20.83,-0.07,-0.08,93.2,83.67,84.4,80.67,87.01,-0.018000000000000002
0.09,25.03,408.36,-0.064,-0.039,10.113999999999999,10.300999999999998,11.99,10.96,16.59,-240.87,-33.22,21.0,-0.05,-0.07,93.25,83.81,84.54,80.67,87.01,-0.018000000000000002
0.1,25.03,408.63,-0.064,-0.034,10.115,10.293,11.99,2.65,13.87,-232.74,-45.97,18.19,-0.01,-0.06,93.26,83.75,84.49,80.65,87.05,-0.017
0.11,25.03,408.49,-0.061,-0.031,10.115,10.299000000000001,11.98,-7.51,12.29,-226.44,-53.63,11.39,0.03,-0.05,93.23,83.81,84.43,80.56,87.02,-0.018000000000000002
0.12,25.03,408.49,-0.057,-0.036000000000000004,10.113999999999999,10.299000000000001,11.97,-19.28,11.23,-222.14,-56.52,1.05,0.09,-0.05,93.26,83.78,84.46,80.75,87.0,-0.018000000000000002
0.13,25.04,408.56,-0.064,-0.031,10.116,10.3,11.98,-29.21,11.26,-219.97,-54.13,-9.25,0.13,-0.05,93.26,83.95,84.4,80.43,87.02,-0.018000000000000002
0.14,25.04,408.77,-0.067,-0.033,10.113,10.296,11.97,-35.95,12.44,-220.09,-45.58,-18.26,0.16,-0.06,93.26,83.87,84.46,80.51,87.05,-0.018000000000000002
0.15,25.04,408.97,-0.057999999999999996,-0.036000000000000004,10.115,10.289000000000001,11.97,-35.08,13.95,-222.77,-33.25,-22.44,0.16,-0.06,93.28,83.61,84.35,80.54,87.02,-0.017
0.16,25.04,408.91,-0.064,-0.027999999999999997,10.115,10.293,11.97,-27.91,15.89,-227.8,-18.84,-22.5,0.12,-0.07,93.17,83.64,84.43,80.54,87.01,-0.017
0.17,25.04,409.04,-0.061,-0.034,10.115,10.29,12.0,-14.66,18.63,-234.19,-5.07,-17.04,0.06,-0.08,93.3,83.75,84.51,80.54,87.04,-0.017
0.18,25.05,409.18,-0.07,-0.03,10.113999999999999,10.289000000000001,12.0,0.56,20.68,-241.18,5.59,-9.04,0.0,-0.09,93.3,83.47,84.37,80.54,87.03,-0.017
0.19,25.06,409.25,-0.064,-0.04,10.116,10.290999999999999,12.04,12.92,22.73,-245.99,10.16,-0.75,-0.05,-0.09,93.25,83.55,84.4,80.54,86.99,-0.017
0.2,25.06,408.97,-0.066,-0.031,10.113999999999999,10.3,12.09,18.46,23.6,-248.77,8.81,6.11,-0.07,-0.09,93.26,83.9,84.54,80.54,87.03,-0.018000000000000002
0.21,25.07,408.91,-0.07,-0.036000000000000004,10.116,10.305,12.11,16.35,23.38,-247.68,0.07,10.85,-0.07,-0.09,93.23,83.78,84.49,80.54,87.04,-0.018000000000000002
0.22,25.08,408.77,-0.057999999999999996,-0.031,10.115,10.31,12.09,9.21,22.34,-244.38,-11.77,14.6,-0.04,-0.09,93.26,83.78,84.79,80.67,87.01,-0.019
0.23,25.08,408.7,-0.066,-0.033,10.113,10.312000000000001,12.09,-1.22,20.54,-238.79,-25.42,16.02,0.01,-0.09,93.28,83.72,84.4,80.24,87.0,-0.019
0.24,25.08,408.77,-0.067,-0.027999999999999997,10.113,10.312000000000001,12.06,-13.48,18.59,-232.52,-38.53,14.81,0.06,-0.08,93.32,83.55,84.46,80.51,87.03,-0.019
0.25,25.08,408.77,-0.044000000000000004,-0.022000000000000002,10.113,10.314,12.06,-25.42,16.8,-226.12,-50.07,10.89,0.11,-0.07,93.26,83.78,84.4,80.48,87.03,-0.019
