ET,V,N,SA,IA,RL,RE,P,FX,FY,FZ,MX,MZ,NFX,NFY,RST,TSTI,TSTC,TSTO,AMBTMP,SR
0.0,25.04,427.5,-0.057999999999999996,-0.034,9.555,9.844,11.96,-25.35,17.95,-221.4,-46.73,0.37,0.11,-0.08,93.46,84.9,86.49,83.9,88.93,-0.028999999999999998
0.01,25.04,427.64,-0.06,-0.037000000000000005,9.556000000000001,9.84,11.96,-31.53,19.11,-227.18,-35.78,-8.56,0.14,-0.08,93.47,84.9,86.8,84.22,88.92,-0.028999999999999998
0.02,25.04,427.71,-0.054000000000000006,-0.031,9.555,9.84,11.95,-33.18,21.2,-233.87,-22.76,-13.64,0.14,-0.09,93.51,84.93,86.74,83.95,88.88,-0.028999999999999998
0.03,25.04,427.71,-0.057,-0.017,9.554,9.841000000000001,11.96,-30.38,23.27,-242.9,-7.08,-14.04,0.13,-0.1,93.41,85.15,86.66,83.81,88.91,-0.028999999999999998
0.04,25.04,427.78,-0.048,-0.025,9.552999999999999,9.839,11.96,-23.33,23.97,-248.88,4.06,-9.78,0.09,-0.1,93.46,85.38,86.63,84.36,88.94,-0.028999999999999998
0.05,25.06,427.71,-0.055999999999999994,-0.039,9.556000000000001,9.845,11.96,-13.85,24.33,-252.03,9.99,-1.52,0.05,-0.1,93.47,85.1,86.6,84.03,88.9,-0.028999999999999998
0.06,25.05,427.64,-0.044000000000000004,-0.044000000000000004,9.556000000000001,9.846,12.01,-6.03,24.49,-252.9,11.7,7.89,0.02,-0.1,93.45,85.24,86.52,84.03,88.9,-0.028999999999999998
0.07,25.06,427.44,-0.057999999999999996,-0.024,9.552999999999999,9.854,11.92,-2.17,23.16,-250.11,6.33,16.92,0.01,-0.09,93.47,85.04,86.74,84.39,88.93,-0.031
0.08,25.06,427.44,-0.053,-0.034,9.556000000000001,9.854,11.95,-3.47,21.24,-245.06,-3.97,23.63,0.01,-0.09,93.46,84.93,86.29,84.0,88.92,-0.03
0.09,25.07,427.23,-0.054000000000000006,-0.006,9.554,9.861,12.0,-8.1,19.06,-237.48,-19.1,27.79,0.03,-0.08,93.46,85.04,86.46,84.25,88.89,-0.031
0.1,25.07,427.57,-0.047,-0.031,9.556000000000001,9.853,11.96,-13.42,17.48,-230.73,-32.97,29.6,0.06,-0.08,93.45,84.98,86.32,84.06,88.91,-0.03
0.11,25.06,427.71,-0.053,-0.037000000000000005,9.558,9.847999999999999,11.94,-18.37,16.81,-225.33,-44.04,28.29,0.08,-0.07,93.45,85.15,86.18,84.11,88.93,-0.028999999999999998
0.12,25.06,428.05,-0.054000000000000006,-0.03,9.556000000000001,9.84,11.98,-23.49,17.55,-221.07,-50.35,22.59,0.11,-0.08,93.5,85.18,86.29,84.11,88.9,-0.028999999999999998
0.13,25.06,428.26,-0.057999999999999996,-0.027999999999999997,9.555,9.834,11.98,-27.51,18.19,-219.84,-50.92,14.25,0.13,-0.08,93.47,84.78,86.41,83.9,88.89,-0.027999999999999997
0.14,25.06,428.33,-0.057,-0.03,9.554,9.832,11.92,-28.89,19.33,-220.98,-46.79,5.37,0.13,-0.09,93.46,84.87,86.38,83.95,88.93,-0.027999999999999997
0.15,25.06,428.39,-0.053,-0.03,9.552999999999999,9.83,11.98,-28.09,20.8,-226.47,-36.06,-3.03,0.12,-0.09,93.48,84.81,86.49,83.98,88.92,-0.027999999999999997
0.16,25.06,428.39,-0.057999999999999996,-0.027000000000000003,9.554,9.831,11.94,-25.12,22.28,-234.53,-21.9,-8.88,0.11,-0.1,93.45,84.98,86.35,83.98,88.9,-0.027999999999999997
0.17,25.06,428.19,-0.057,-0.027000000000000003,9.551,9.836,11.96,-20.34,23.45,-242.53,-7.79,-10.83,0.08,-0.1,93.52,84.84,86.63,83.9,88.9,-0.028999999999999998
0.18,25.06,427.98,-0.054000000000000006,-0.027999999999999997,9.555,9.841000000000001,12.01,-14.83,24.13,-249.02,3.54,-8.86,0.06,-0.1,93.47,84.78,86.68,84.11,88.94,-0.028999999999999998
0.19,25.06,427.78,-0.05,-0.027000000000000003,9.551,9.845,12.02,-8.28,24.3,-252.56,10.03,-2.54,0.03,-0.1,93.46,84.84,86.74,84.09,88.91,-0.03
0.2,25.06,427.64,-0.055999999999999994,-0.027000000000000003,9.551,9.847999999999999,12.06,-1.73,23.83,-253.01,10.81,6.89,0.01,-0.09,93.47,84.87,86.77,84.09,88.88,-0.03
0.21,25.06,427.57,-0.06,-0.027999999999999997,9.555,9.849,12.06,2.68,23.01,-250.36,6.04,16.58,-0.01,-0.09,93.46,84.93,86.8,84.25,88.92,-0.03
0.22,25.06,427.57,-0.06,-0.03,9.554,9.851,12.06,5.73,21.08,-245.28,-4.19,25.64,-0.02,-0.09,93.47,84.81,86.66,84.3,88.92,-0.03
0.23,25.05,427.71,-0.053,-0.027000000000000003,9.555,9.844,12.06,6.64,19.11,-238.42,-18.15,32.03,-0.03,-0.08,93.42,84.78,86.74,84.2,88.9,-0.028999999999999998
0.24,25.06,427.85,-0.055999999999999994,-0.022000000000000002,9.552999999999999,9.842,12.06,6.53,17.3,-231.34,-32.49,34.78,-0.03,-0.07,93.38,84.7,86.63,84.0,88.9,-0.028999999999999998
0.25,25.06,427.92,-0.054000000000000006,-0.027000000000000003,9.556000000000001,9.842,12.09,4.41,16.64,-225.59,-43.67,33.12,-0.02,-0.07,93.45,84.75,86.57,84.0,88.92,-0.028999999999999998
0.26,25.06,428.05,-0.061,-0.027000000000000003,9.554,9.84,12.1,-0.47,16.62,-221.85,-50.1,25.86,0.0,-0.07,93.42,84.15,86.41,83.76,88.91,-0.028999999999999998
0.27,25.05,428.12,-0.051,-0.03,9.555,9.835,12.12,-6.03,17.26,-219.9,-51.59,16.07,0.03,-0.08,93.62,84.87,86.52,84.2,88.89,-0.027999999999999997
0.28,25.06,428.19,-0.06,-0.036000000000000004,9.555,9.834,12.12,-10.36,17.79,-221.66,-47.16,5.87,0.05,-0.08,93.46,85.01,86.68,84.06,88.91,-0.027999999999999997
0.29,25.06,428.19,-0.051,-0.027999999999999997,9.552,9.834,12.11,-11.57,18.77,-227.04,-37.07,-2.55,0.05,-0.08,93.45,84.81,86.52,83.95,88.93,-0.028999999999999998
0.3,25.05,428.33,-0.054000000000000006,-0.03,9.552999999999999,9.83,12.11,-8.26,20.41,-234.94,-22.93,-7.12,0.04,-0.09,93.46,85.07,86.52,84.0,88.89,-0.027999999999999997
0.31,25.06,428.12,-0.051,-0.001,9.55,9.836,12.09,-2.05,22.13,-242.99,-8.91,-8.14,0.01,-0.09,93.45,84.61,87.02,84.44,88.89,-0.028999999999999998
0.32,25.06,428.05,-0.054000000000000006,-0.022000000000000002,9.552,9.84,12.1,6.98,23.02,-249.82,2.73,-4.61,-0.03,-0.09,93.42,85.1,87.1,84.33,88.93,-0.028999999999999998
0.33,25.06,427.98,-0.05,-0.037000000000000005,9.556000000000001,9.841000000000001,12.06,16.84,23.55,-253.3,9.84,2.53,-0.07,-0.09,93.5,84.95,86.82,84.36,88.91,-0.028999999999999998
0.34,25.07,427.71,-0.040999999999999995,-0.03,9.554,9.85,12.04,24.0,23.22,-254.53,12.09,10.75,-0.09,-0.09,93.45,84.87,87.13,84.25,88.89,-0.03
0.35,25.07,427.57,-0.055999999999999994,-0.037000000000000005,9.554,9.855,12.03,27.08,22.1,-251.62,6.71,19.21,-0.11,-0.09,93.47,84.93,86.63,84.52,88.91,-0.031
0.36,25.08,427.37,-0.061,-0.03,9.554,9.861,11.95,25.95,19.68,-247.0,-3.32,26.04,-0.11,-0.08,93.48,85.01,86.66,84.5,88.94,-0.031
0.37,25.08,427.37,-0.047,-0.036000000000000004,9.557,9.862,11.99,21.19,16.96,-239.94,-17.5,30.32,-0.09,-0.07,93.47,85.15,86.35,84.25,88.9,-0.031
0.38,25.08,427.44,-0.051,-0.036000000000000004,9.556000000000001,9.862,11.98,14.35,14.54,-232.34,-32.36,31.52,-0.06,-0.06,93.47,85.13,86.46,83.54,88.89,-0.031
0.39,25.08,427.64,-0.055999999999999994,-0.025,9.552999999999999,9.857000000000001,12.0,5.06,13.21,-226.8,-43.22,28.18,-0.02,-0.06,93.46,84.98,86.63,84.09,88.93,-0.031
0.4,25.08,427.71,-0.047,-0.03,9.556000000000001,9.856,12.01,-5.58,12.58,-222.5,-49.91,20.79,0.03,-0.06,93.48,84.9,86.63,83.92,88.92,-0.03
0.41,25.08,427.78,-0.061,-0.033,9.557,9.853,12.14,-16.23,12.44,-221.08,-50.85,10.91,0.07,-0.06,93.4,84.64,86.68,83.84,88.89,-0.03
0.42,25.08,427.85,-0.053,-0.027999999999999997,9.555,9.85,12.22,-24.33,12.63,-221.87,-47.34,1.0,0.11,-0.06,93.46,84.9,86.71,83.87,88.9,-0.03
0.43,25.07,428.19,-0.055999999999999994,-0.03,9.555,9.841000000000001,12.28,-26.94,13.32,-226.77,-37.71,-6.15,0.12,-0.06,93.46,84.87,86.8,83.81,88.93,-0.028999999999999998
0.44,25.06,428.39,-0.054000000000000006,-0.03,9.556000000000001,9.833,12.28,-23.4,14.64,-234.32,-23.84,-9.65,0.1,-0.06,93.45,84.9,86.8,83.9,88.91,-0.027999999999999997
0.45,25.06,428.39,-0.057,-0.024,9.554,9.83,12.22,-13.79,15.8,-242.42,-9.4,-8.69,0.06,-0.07,93.47,84.93,86.77,83.98,88.89,-0.027999999999999997
0.46,25.06,428.19,-0.05,-0.03,9.554,9.834,12.2,-1.3,17.27,-249.44,3.31,-3.9,0.01,-0.07,93.57,84.78,86.8,83.9,88.92,-0.028999999999999998
