ET,V,N,SA,IA,RL,RE,P,FX,FY,FZ,MX,MZ,NFX,NFY,RST,TSTI,TSTC,TSTO,AMBTMP,SR
0.0,25.05,419.98,-0.063,-0.027000000000000003,9.877,10.023,12.01,17.28,19.83,-228.42,-50.99,27.84,-0.08,-0.09,90.15,83.18,83.51,79.58,84.79,-0.015
0.01,25.05,419.98,-0.07200000000000001,-0.02,9.877,10.023,12.04,8.73,20.7,-228.79,-56.8,18.39,-0.04,-0.09,90.13,83.12,83.76,79.17,84.82,-0.015
0.02,25.04,419.78,-0.063,-0.036000000000000004,9.879,10.026,11.96,0.13,22.32,-229.13,-57.04,8.02,0.0,-0.1,90.14,83.01,83.79,79.58,84.81,-0.015
0.03,25.04,419.64,-0.069,-0.033,9.878,10.027999999999999,12.03,-7.19,23.14,-231.09,-50.89,-2.52,0.03,-0.1,90.13,83.15,83.6,79.39,84.78,-0.015
0.04,25.04,419.5,-0.057,-0.015,9.875,10.03,12.02,-10.81,23.49,-233.63,-41.08,-10.67,0.05,-0.1,90.12,83.07,83.65,79.58,84.8,-0.015
0.05,25.03,419.64,-0.06,-0.04,9.88,10.025,11.99,-11.3,23.19,-236.94,-27.47,-15.85,0.05,-0.1,90.15,83.32,83.48,79.31,84.81,-0.015
0.06,25.04,419.71,-0.07,-0.021,9.876,10.026,11.98,-8.64,22.46,-240.53,-13.21,-16.81,0.04,-0.09,90.13,83.07,83.68,79.55,84.79,-0.015
0.07,25.03,419.71,-0.063,-0.036000000000000004,9.877,10.024,12.0,-4.68,21.49,-244.17,-0.89,-14.14,0.02,-0.09,90.12,83.18,83.6,79.23,84.77,-0.015
0.08,25.04,419.78,-0.067,-0.039,9.879,10.023,12.03,-1.22,19.98,-246.79,7.2,-8.25,0.0,-0.08,90.15,83.18,83.68,79.23,84.79,-0.013999999999999999
0.09,25.04,419.71,-0.064,-0.03,9.878,10.025,11.98,0.41,18.87,-246.47,8.45,-0.24,0.0,-0.08,90.14,83.35,83.71,79.2,84.8,-0.015
0.1,25.04,419.64,-0.067,-0.031,9.884,10.027000000000001,11.96,-1.37,17.11,-243.23,2.41,8.02,0.01,-0.07,90.15,83.55,83.76,79.28,84.76,-0.013999999999999999
0.11,25.04,419.64,-0.057999999999999996,-0.04,9.881,10.027000000000001,11.98,-3.45,16.9,-237.61,-8.8,16.94,0.01,-0.07,90.13,83.49,83.54,79.25,84.76,-0.015
0.12,25.04,419.44,-0.057999999999999996,-0.034,9.879,10.035,11.98,-3.35,17.72,-231.88,-23.01,25.02,0.01,-0.08,90.14,83.44,83.73,79.28,84.8,-0.016
0.13,25.04,419.57,-0.057,-0.036000000000000004,9.88,10.029,11.98,0.58,19.18,-228.2,-36.6,31.45,0.0,-0.08,90.14,83.47,83.65,79.23,84.79,-0.015
0.14,25.04,419.57,-0.064,-0.031,9.881,10.032,11.99,5.69,21.11,-226.62,-47.53,32.62,-0.03,-0.09,90.14,83.52,83.57,79.12,84.76,-0.015
0.15,25.04,419.64,-0.066,-0.031,9.879,10.03,12.0,9.88,22.63,-225.87,-54.66,28.52,-0.04,-0.1,90.09,83.41,83.48,79.14,84.78,-0.015
0.16,25.04,419.85,-0.06,-0.039,9.883,10.024,11.99,10.19,24.05,-226.67,-56.23,19.07,-0.04,-0.11,90.14,83.52,83.23,79.09,84.8,-0.013999999999999999
0.17,25.05,419.64,-0.066,-0.027999999999999997,9.877,10.032,12.01,6.65,24.53,-227.95,-53.08,6.79,-0.03,-0.11,90.13,83.44,83.4,79.06,84.77,-0.016
0.18,25.06,419.57,-0.07200000000000001,-0.03,9.879,10.036,12.04,0.3,23.82,-230.9,-44.57,-5.95,0.0,-0.1,90.18,83.32,83.37,79.06,84.76,-0.016
0.19,25.06,419.64,-0.064,-0.04,9.881,10.036,12.07,-6.22,23.02,-234.51,-31.76,-15.73,0.03,-0.1,90.19,83.27,83.32,79.12,84.79,-0.015
0.2,25.06,419.57,-0.064,-0.027999999999999997,9.879,10.038,12.1,-10.63,21.37,-237.34,-18.67,-20.73,0.04,-0.09,90.1,83.64,83.48,78.87,84.78,-0.016
0.21,25.06,419.64,-0.07200000000000001,-0.036000000000000004,9.879,10.036,12.1,-12.15,20.24,-240.49,-5.13,-19.88,0.05,-0.08,90.15,83.18,83.85,79.14,84.75,-0.016
0.22,25.06,419.71,-0.057,-0.04,9.88,10.033,12.09,-12.01,19.99,-242.26,4.0,-14.54,0.05,-0.08,90.15,83.07,83.37,79.17,84.76,-0.015
0.23,25.06,419.64,-0.07200000000000001,-0.033,9.881,10.035,12.08,-10.38,19.36,-242.09,7.32,-5.37,0.04,-0.08,90.15,83.41,83.73,79.14,84.79,-0.015
0.24,25.06,419.64,-0.064,-0.037000000000000005,9.879,10.035,12.08,-9.82,19.19,-239.4,3.8,4.83,0.04,-0.08,90.09,83.47,83.46,79.44,84.76,-0.016
0.25,25.05,419.5,-0.067,-0.033,9.88,10.036,12.07,-7.96,19.57,-236.35,-4.4,15.91,0.03,-0.08,90.17,83.38,83.9,79.47,84.75,-0.016
0.26,25.04,419.57,-0.061,-0.027000000000000003,9.878,10.032,12.04,-3.13,20.24,-231.84,-17.5,26.41,0.01,-0.09,90.17,83.18,83.37,78.98,84.78,-0.015
0.27,25.04,419.64,-0.063,-0.027999999999999997,9.879,10.029,12.04,3.91,21.07,-228.29,-32.02,33.68,-0.02,-0.09,90.13,83.67,83.96,79.44,84.79,-0.015
0.28,25.04,419.71,-0.055999999999999994,-0.04,9.88,10.025,12.03,10.28,22.1,-226.14,-44.94,35.46,-0.05,-0.1,90.14,83.58,83.34,79.03,84.75,-0.015
0.29,25.04,419.71,-0.07,-0.055,9.882,10.027000000000001,12.05,12.81,23.64,-225.37,-53.56,30.51,-0.06,-0.1,90.12,83.58,83.26,78.63,84.76,-0.015
0.3,25.04,419.57,-0.069,-0.04,9.88,10.029,11.99,10.19,24.98,-225.74,-56.73,20.23,-0.05,-0.11,90.15,83.67,83.51,79.03,84.79,-0.015
0.31,25.04,419.57,-0.063,-0.04,9.88,10.029,12.0,3.58,26.11,-227.92,-53.79,7.19,-0.02,-0.11,90.13,83.67,83.21,78.71,84.76,-0.015
0.32,25.04,419.44,-0.07,-0.037000000000000005,9.878,10.033,12.0,-4.51,25.38,-231.81,-45.33,-5.57,0.02,-0.11,90.14,83.38,83.37,79.31,84.74,-0.015
