ET,V,N,SA,IA,RL,RE,P,FX,FY,FZ,MX,MZ,NFX,NFY,RST,TSTI,TSTC,TSTO,AMBTMP,SR
438.31,25.04,415.47,-5.939,-0.036000000000000004,9.754,10.076,12.12,-30.97,537.11,-250.17,1.49,16.07,0.12,-2.15,92.73,103.32,133.66,135.5,81.62,-0.032
438.32,25.04,415.26,-5.985,-0.034,9.753,10.079,12.07,-26.48,535.52,-249.61,-0.66,28.21,0.11,-2.15,92.71,103.21,134.02,135.09,81.64,-0.032
438.33,25.04,415.06,-6.021,-0.04,9.756,10.081,12.12,-20.95,535.46,-248.31,-8.1,40.77,0.08,-2.16,92.77,103.18,133.8,135.48,81.63,-0.032
438.34,25.04,415.06,-6.065,-0.024,9.753,10.083,12.09,-14.23,536.72,-245.21,-20.48,51.36,0.06,-2.19,92.73,103.32,134.13,135.18,81.61,-0.033
438.35,25.04,415.2,-6.112,-0.04,9.756,10.076,12.09,-7.75,539.31,-241.33,-34.25,57.62,0.03,-2.23,92.72,103.32,134.41,135.59,81.62,-0.032
438.36,25.04,415.47,-6.138,-0.024,9.753,10.068999999999999,12.09,-4.28,541.99,-237.06,-47.89,57.29,0.02,-2.29,92.73,103.47,134.16,135.75,81.65,-0.031
438.37,25.04,415.54,-6.192,-0.036000000000000004,9.754,10.068999999999999,12.09,-3.76,545.55,-233.67,-57.57,51.87,0.02,-2.33,92.76,103.64,134.55,135.94,81.61,-0.031
438.38,25.04,415.61,-6.232,-0.033,9.752,10.065,12.12,-6.95,549.89,-232.29,-61.56,41.73,0.03,-2.37,92.67,103.32,134.63,136.1,81.6,-0.031
438.39,25.04,415.61,-6.261,-0.04,9.754,10.064,12.11,-11.47,554.15,-232.67,-59.43,29.56,0.05,-2.38,92.73,103.18,134.8,136.27,81.63,-0.031
438.4,25.03,415.88,-6.292999999999999,-0.03,9.752,10.055,12.11,-15.95,558.88,-235.67,-49.85,17.44,0.07,-2.37,92.74,103.21,134.97,136.4,81.63,-0.03
438.41,25.03,416.09,-6.34,-0.043,9.753,10.049,12.08,-18.98,560.88,-239.71,-37.59,7.25,0.08,-2.34,92.72,103.09,135.02,136.46,81.6,-0.028999999999999998
438.42,25.03,416.09,-6.374,-0.039,9.754,10.047,12.11,-21.06,560.18,-242.84,-25.37,0.72,0.09,-2.31,92.82,103.12,135.13,136.57,81.61,-0.028999999999999998
438.43,25.02,416.09,-6.412000000000001,-0.03,9.747,10.044,12.09,-21.97,555.71,-245.62,-15.17,-0.15,0.09,-2.26,92.72,103.12,135.22,136.43,81.63,-0.03
438.44,25.03,415.95,-6.455,-0.04,9.753,10.048,12.09,-22.7,550.49,-248.08,-6.72,3.92,0.09,-2.22,92.73,103.12,135.27,136.51,81.61,-0.028999999999999998
438.45,25.03,415.61,-6.489,-0.039,9.753,10.058,12.07,-22.26,547.07,-249.64,-1.69,13.04,0.09,-2.19,92.71,103.09,135.38,136.73,81.59,-0.03
438.46,25.05,415.47,-6.537000000000001,-0.025,9.747,10.066,12.07,-21.42,545.78,-251.03,-0.55,23.91,0.09,-2.17,92.71,103.09,135.44,136.98,81.62,-0.032
438.47,25.06,415.54,-6.574,-0.031,9.749,10.067,12.07,-20.36,547.45,-249.8,-5.81,34.2,0.08,-2.19,92.73,103.12,135.47,136.73,81.62,-0.032
438.48,25.07,415.74,-6.617999999999999,-0.03,9.747,10.066,12.09,-14.96,550.95,-247.07,-15.51,44.59,0.06,-2.23,92.73,103.04,135.55,137.03,81.59,-0.032
438.49,25.08,416.09,-6.651,-0.031,9.752,10.064,12.08,-9.0,554.6,-243.34,-28.33,51.54,0.04,-2.28,92.64,102.95,135.61,137.17,81.6,-0.031
438.5,25.09,416.29,-6.692,-0.036000000000000004,9.752,10.061,12.09,-3.97,557.01,-238.76,-42.26,54.36,0.02,-2.33,92.64,102.92,135.75,137.52,81.62,-0.031
438.51,25.1,416.36,-6.735,-0.043,9.752,10.06,12.07,-2.43,559.29,-234.97,-53.7,52.06,0.01,-2.38,92.6,102.84,136.11,137.58,81.6,-0.031
438.52,25.1,416.43,-6.781000000000001,-0.036000000000000004,9.751,10.058,12.06,-4.34,561.11,-232.27,-60.86,45.36,0.02,-2.42,92.64,102.38,136.25,138.15,81.57,-0.031
438.53,25.09,416.43,-6.827999999999999,-0.039,9.749,10.056000000000001,12.06,-7.5,562.84,-231.93,-62.26,36.42,0.03,-2.43,92.74,102.49,136.25,138.26,81.61,-0.03
438.54,25.08,416.43,-6.872000000000001,-0.036000000000000004,9.751,10.051,12.08,-9.82,564.75,-233.2,-57.56,26.85,0.04,-2.42,92.74,103.12,136.41,138.48,81.62,-0.03
438.55,25.08,416.63,-6.912999999999999,-0.033,9.746,10.043,12.08,-11.75,566.38,-237.39,-46.3,17.65,0.05,-2.39,92.72,102.61,136.22,138.23,81.59,-0.03
438.56,25.08,416.84,-6.955,-0.068,9.753,10.038,12.05,-13.17,566.58,-242.74,-31.24,10.0,0.05,-2.33,92.76,102.92,136.8,138.84,81.59,-0.027999999999999997
438.57,25.08,416.77,-7.004,-0.027000000000000003,9.746,10.037,12.04,-14.53,564.08,-245.47,-19.52,4.9,0.06,-2.3,92.73,102.46,136.72,138.45,81.62,-0.028999999999999998
438.58,25.07,416.91,-7.039,-0.021,9.744,10.029,12.09,-13.53,559.93,-248.18,-9.22,5.51,0.05,-2.26,92.72,103.07,136.47,138.92,81.6,-0.027999999999999997
438.59,25.07,416.91,-7.09,-0.03,9.745,10.027999999999999,12.14,-11.3,556.09,-249.41,-3.21,10.78,0.05,-2.23,92.74,103.04,136.64,138.81,81.57,-0.027999999999999997
438.6,25.06,416.63,-7.1129999999999995,-0.033,9.748,10.033,12.18,-7.68,554.69,-250.34,-0.73,20.38,0.03,-2.22,92.71,102.58,137.0,138.89,81.6,-0.027999999999999997
438.61,25.06,416.43,-7.156000000000001,-0.043,9.747,10.036,12.13,-2.72,555.77,-250.47,-3.16,32.73,0.01,-2.22,92.74,102.61,136.64,138.94,81.62,-0.028999999999999998
438.62,25.06,416.22,-7.21,-0.031,9.745,10.037,12.12,4.25,558.31,-248.17,-11.7,45.77,-0.02,-2.25,92.72,102.86,136.89,139.0,81.58,-0.028999999999999998
438.63,25.06,416.36,-7.24,-0.024,9.745,10.033,12.12,13.11,561.93,-244.8,-23.67,57.1,-0.05,-2.3,92.72,102.84,136.97,138.94,81.58,-0.028999999999999998
